id,name,email,mobile,course,fee,discount,status1,status2
1,Alok,alok@gmail.com,2147483647,bigdata,30000,10,Joining:WD:12/08/21:FRI:10AM,DD
2,Sai,sai@gmail.com,2147483647,fullstack,35000,15,Looking for Demo,DND
3,Abhilash,abhi@gmail.com,2147483647,ML,40000,25,Joining:WD:16/08/21:WED:10AM,DD
4,Rajib,rajib@gmail.com,2147483647,c#,20000,12,Looking for Demo,DND
5,Sidhant,sidhant@gmail.com,2147483647,AI,25000,20,Joining:WD:18/08/21:WED:10AM,Enrolled
6,Sharma,sharma@gmail.com,2147483647,ML,40000,25,Joining:WD:19/08/21:FRI:10AM,DD
7,Preeti,preeti1@gmail.com,2147483647,AI,25000,20,Looking for Demo,DND
8,Uttam,uttam@gmail.com,2147483647,bigdata,30000,10,Joining:WD:16/08/21:FRI:10AM,Enrolled
9,Ankur,ankur@gmail.com,2147483647,fullstack,35000,15,Joining:WE:14/08/21:SUN:11AM,DD
10,Roli,roli@gmail.com,2147483647,ML,40000,25,Looking for Demo,DND
11,Amrita,amrita@gmail.com,2147483647,AI,25000,20,Joining:WD:17/08/21:WED:10AM,Enrolled
12,Simran,simran@gmail.com,2147483647,fullstack,35000,15,Joining:WE:15/08/21:SUN:11AM,DD
13,Uday,uday@gmail.com,2147483647,bigdata,30000,10,Joining:WD:12/08/21:FRI:10AM,Enrolled
14,Raj,raj@gmail.com,2147483647,c#,20000,12,Looking for Demo,DND
15,Aman,aman@gmail.com,2147483647,bigdata,30000,10,Joining:WD:14/08/21:FRI:10AM,Enrolled
16,Abhishek,abhis@gmail.com,2147483647,ML,40000,25,Looking for Demo,DND
17,Srujana,srujna@gmail.com,2147483647,ML,40000,25,Joining:WD:16/08/21:FRI:10AM,DD
18,Anand,anand@gmail.com,2147483647,fullstack,35000,15,Joining:WE:18/08/21:SUN:11AM,Enrolled
19,Ramesh,ramesh@gmail.com,2147483647,c#,20000,12,Joining:WD:14/08/21:FRI:10AM,Enrolled
20,Supriya,supriya@gmail.com,2147483647,AI,25000,20,Joining:WE:14/08/21:SUN:11AM,DD
21,Eswar,eswar@gmail.com,77802639,bigdata,30000,10,Joining:WD:12/08/21:THU:10AM,DD
22,Rahul,rahul@gmail.com,95969645,fullstack,35000,15,Looking for Demo,DND
23,Ram,ram@gmail.com,99887755,bigdata,30000,10,Joining:WE:15/08/21:SUN:12PM,Enrolled
24,Guru,gowd@gmail.com,44564123,ML,40000,25,Demo:WD:13/08/21:FRI:11AM,DND
25,Gopal,gopal@gmail.com,11244556,fullstack,35000,15,Demo:WE:14/08/21:SAT:10AM,DD
26,Aman,aman@gmail.com,67505361,bigdata,30000,10,Demo:WD:04/08/21:WED:11AM,DND
27,Daanish,daanish@gmail.com,83249834,c#,20000,12,Demo:WD:25/08/21:WED:11AM,DND
