id,name,email,mobile,course,joining,day,time,total_fee
1,Alok,alok@gmail.com,NULL,bigdata,WD,12/08/21:FRI,10AM,27000.0
3,Abhilash,abhi@gmail.com,NULL,ML,WD,16/08/21:WED,10AM,30000.0
5,Sidhant,sidhant@gmail.com,NULL,AI,WD,18/08/21:WED,10AM,20000.0
6,Sharma,sharma@gmail.com,NULL,ML,WD,19/08/21:FRI,10AM,30000.0
8,Uttam,uttam@gmail.com,NULL,bigdata,WD,16/08/21:FRI,10AM,27000.0
9,Ankur,ankur@gmail.com,NULL,fullstack,WE,14/08/21:SUN,11AM,29750.0
11,Amrita,amrita@gmail.com,NULL,AI,WD,17/08/21:WED,10AM,20000.0
12,Simran,simran@gmail.com,NULL,fullstack,WE,15/08/21:SUN,11AM,29750.0
13,Uday,uday@gmail.com,NULL,bigdata,WD,12/08/21:FRI,10AM,27000.0
15,Aman,aman@gmail.com,NULL,bigdata,WD,14/08/21:FRI,10AM,27000.0
17,Srujana,srujna@gmail.com,NULL,ML,WD,16/08/21:FRI,10AM,30000.0
18,Anand,anand@gmail.com,NULL,fullstack,WE,18/08/21:SUN,11AM,29750.0
19,Ramesh,ramesh@gmail.com,NULL,c#,WD,14/08/21:FRI,10AM,17600.0
20,Supriya,supriya@gmail.com,NULL,AI,WE,14/08/21:SUN,11AM,20000.0
21,Eswar,eswar@gmail.com,77802639,bigdata,WD,12/08/21:THU,10AM,27000.0
23,Ram,ram@gmail.com,99887755,bigdata,WE,15/08/21:SUN,12PM,27000.0
34,Rohit,rohi@outlook.com,78563425,c#,WE,15/08/21:SUN,12PM,17600.0
36,Shan,shan@gmail.com,3784538,fullstack,WD,19/08/21:THU,10AM,29750.0
39,Mohan,chets@gmail.com,98721638,bigdata,WD,05/08/21:THU,10AM,27000.0
40,Minu,minu@gmail.com,96333424,fullstack,WE,22/08/21:SUN,12PM,29750.0
41,Rajib,rajib1@gmail.com,NULL,bigdata,WD,11/08/21:THU,10AM,27000.0
43,Punit,punit1@gmail.com,NULL,ML,WE,15/08/21:SUN,12PM,30000.0
47,Bishwa,biswa1@gmail.com,NULL,fullstack,WE,15/08/21:SUN,12PM,29750.0
48,Sourashis,sourashis1@gmail.com,NULL,AI,WE,15/08/21:SUN,12PM,20000.0
54,Vim,vim1@gmail.com,1000000010,ML,WE,15/08/21:SUN,12PM,30000.0
55,Duryodhan,duryodhan1@gmail.com,NULL,fullstack,WD,11/08/21:THU,10AM,29750.0
57,Laxman,laxman1@gmail.com,1010203020,bigdata,WE,15/08/21:SUN,12PM,27000.0
61,Abhilash,abhi1@gmail.com,NULL,bigdata,WD,11/08/21:THU,10AM,27000.0
63,Rohit,rohit1@gmail.com,NULL,ML,WE,15/08/21:SUN,12PM,30000.0
67,vishwa,vishwa1@gmail.com,NULL,fullstack,WE,15/08/21:SUN,12PM,29750.0
68,Sourabh,sourabh1@gmail.com,NULL,AI,WE,15/08/21:SUN,12PM,20000.0
74,Loki,loki1@gmail.com,NULL,ML,WE,15/08/21:SUN,12PM,30000.0
75,Alok,alok1@gmail.com,NULL,fullstack,WD,11/08/21:THU,10AM,29750.0
77,Bunny,bunny1@gmail.com,NULL,bigdata,WE,15/08/21:SUN,12PM,27000.0
81,Sai,sai@gmail.com,NULL,bigdata,WD,11/08/21:THU,10AM,27000.0
83,pavan,pavan@gmail.com,NULL,ML,WE,15/08/21:SUN,12PM,30000.0
87,rohit,ro45@gmail.com,NULL,fullstack,WE,15/08/21:SUN,12PM,29750.0
88,Adam,adam@gmail.com,NULL,AI,WE,15/08/21:SUN,12PM,20000.0
94,Root,root@gmail.com,995266521,ML,WE,15/08/21:SUN,12PM,30000.0
95,Suyodhana,suyodhana1@gmail.com,NULL,fullstack,WD,11/08/21:THU,10AM,29750.0
97,Charan,cherry1@gmail.com,NULL,bigdata,WE,15/08/21:SUN,12PM,27000.0
