id,name,email,mobile,course,demo_day,day,time
24,Guru,gowd@gmail.com,44564123,ML,WD,13/08/21:FRI,11AM
25,Gopal,gopal@gmail.com,11244556,fullstack,WE,14/08/21:SAT,10AM
26,Aman,aman@gmail.com,67505361,bigdata,WD,04/08/21:WED,11AM
27,Daanish,daanish@gmail.com,83249834,c#,WD,25/08/21:WED,11AM
30,Sam,sam@gmail.com,12839892,bigdata,WD,18/08/21:WED,11AM
31,Ramesh,rammy@gmail.com,47386832,ML,WD,27/08/21:FRI,11AM
32,Surya,surya.21@gmail.com,16743323,c#,WE,14/08/21:SAT,10AM
33,Aman,aman@gmail.com,53279424,bigdata,WD,04/08/21:WED,11AM
35,Yug,yug@gmail.com,91746372,ML,WD,04/08/21:WED,11AM
38,Sanchit,schit@gmail.com,75137934,c#,WE,21/08/21:SAT,10AM
44,Preeti,preeti1@gmail.com,NULL,c#,WD,13/08/21:FRI,11AM
45,Rinki,rinki1@gmail.com,NULL,AI,WE,14/08/21:SAT,10AM
46,Santosh,santosh1@gmail.com,NULL,bigdata,WD,04/08/21:WED,11AM
49,Saheli,saheli1@gmail.com,122222222,ML,WE,14/08/21:SAT,10AM
50,Somrat,somrat1@gmail.com,1111111122,bigdata,WD,04/08/21:WED,11AM
51,Viswapitama,viswapitama1@gmail.com,1000000011,fullstack,WE,14/08/21:SAT,10AM
58,Satrudhan,satrudhan1@gmail.com,NULL,AI,WD,04/08/21:WED,11AM
59,Bharat,bharat1@gmail.com,NULL,fullstack,WE,14/08/21:SAT,10AM
60,Ram,ram1@gmail.com,1010102020,c#,WD,13/08/21:FRI,11AM
64,ruthvika,ruthvika1@gmail.com,NULL,c#,WD,13/08/21:FRI,11AM
65,pinky,pinky1@gmail.com,NULL,AI,WE,14/08/21:SAT,10AM
66,prabhu,prabhu1@gmail.com,NULL,bigdata,WD,04/08/21:WED,11AM
69,Sohail,sohail1@gmail.com,1023222222,ML,WE,14/08/21:SAT,10AM
70,Virat,virat1@gmail.com,2112111122,bigdata,WD,04/08/21:WED,11AM
71,Saikumar,saikumar1@gmail.com,1001000012,fullstack,WE,14/08/21:SAT,10AM
78,Havish,havish1@gmail.com,NULL,AI,WD,04/08/21:WED,11AM
79,Sunny,sunny1@gmail.com,NULL,fullstack,WE,14/08/21:SAT,10AM
80,Raju,raju1@gmail.com,NULL,c#,WD,13/08/21:FRI,11AM
84,Pavani,pavani@gmail.com,NULL,c#,WD,13/08/21:FRI,11AM
85,sravan,sravan2@gmail.com,NULL,AI,WE,14/08/21:SAT,10AM
86,ashu,ashuthosh@gmail.com,NULL,bigdata,WD,04/08/21:WED,11AM
89,Sahul,sahul1@gmail.com,NULL,ML,WE,14/08/21:SAT,10AM
90,kalyan,kalyan@gmail.com,NULL,bigdata,WD,04/08/21:WED,11AM
91,Viswas,viswas@gmail.com,NULL,fullstack,WE,14/08/21:SAT,10AM
98,Jaya,jaya@gmail.com,NULL,AI,WD,04/08/21:WED,11AM
99,Vasu,Vaas@gmail.com,NULL,fullstack,WE,14/08/21:SAT,10AM
100,Ganesh,gani@gmail.com,NULL,c#,WD,13/08/21:FRI,11AM
